line_no,word,declared_cefr,n_senses,per_def_cefrs,distinct_non_null,has_null
8,uncertain,UNCLASSIFIED,2,NULL|B1,B1,yes
2487,domesticated,UNCLASSIFIED,1,NULL,(none),yes
