word,missing_cefr,source_pos,source_def_idx,sense_text,badge,found_in_lines,found_in_declared_cef
clip,C1,noun,2,a small metal or plastic object used for holding things together or in place,B2,2825,B2
coherent,C1,adjective,1,logical and well organized; easy to understand and clear,,1584,UNCLASSIFIED
coherent,C1,adjective,2,able to talk and express yourself clearly,,1584,UNCLASSIFIED
colonial,C2,adjective,2,typical of or connected with the US at the time when it was still a British colony,C1,2827,C1
colony,C1,noun,5,a group of plants or animals that live together or grow in the same place,B2,2759,B2
colourful,C1,adjective,2,"interesting or exciting; full of variety, sometimes in a way that shocks people",B2,2828,B2
commander,C1,noun,2,an officer of fairly high rank in the British or American navy,B2,2776,B2
commander,C2,noun,3,(in England) a London police officer of high rank,B2,2777,B2
commissioner,C2,noun,2,the head of a particular police force in some countries,C1,2829,C1
commissioner,C2,noun,3,the head of a government department in some countries,C1,2829,C1
compatible,C1,adjective,1,able to be used together,,1585,UNCLASSIFIED
compatible,C1,adjective,3,"if two people are compatible, they can have a good relationship because they have similar ideas, interests, etc.",,1585,UNCLASSIFIED
compose,C1,verb,2,"to write a letter, etc. usually with a lot of care and thought",B2,2830,B2
compose,C1,verb,3,to combine together to form a whole,B2,2830,B2
composition,C2,noun,3,"a piece of music or art, or a poem",C1,2626,C1
composition,C2,noun,5,the arrangement of people or objects in a painting or photograph,C1,2626,C1
comprehensive,C2,adjective,2,designed for students of all abilities in the same school,B2,2591,B2
concrete,C1,adjective,2,"based on facts, not on ideas or guesses",B2,2831,B2
configuration,C2,noun,2,the equipment and programs that form a computer system and the way that these are set up to run,C1,2832,C1
confirmation,C2,noun,2,a ceremony at which a person becomes a full member of the Christian Church,C1,2833,C1
confirmation,C2,noun,3,a Jewish ceremony similar to a bar mitzvah or bat mitzvah but usually for young people over the age of 16,C1,2833,C1
conform,C1,verb,2,"to obey a rule, law, etc.",,1587,UNCLASSIFIED
conform,C1,verb,3,to agree with or match something,,1587,UNCLASSIFIED
congruence,C2,noun,2,the quality of having the same size and shape,,2513,UNCLASSIFIED
conservation,C1,noun,2,the official protection of buildings and objects that have historical or artistic importance,B2,2835,B2
conservation,C1,noun,3,"the act of preventing something from being lost, wasted, damaged or destroyed",B2,2835,B2
consistent,C1,adjective,3,in agreement with something; not contradicting something,B2,2537,B2
consistent,C1,adjective,4,having different parts that all agree with each other,B2,2537,B2
consolidation,C1,noun,1,the act or process of making a position of power or success stronger so that it is more likely to continue,,223,UNCLASSIFIED
consumption,C1,noun,2,the act of buying and using products,B2,2836,B2
contagious,C1,adjective,1,a contagious disease spreads by close contact between people,,2475,UNCLASSIFIED
contaminate,C1,verb,1,to make a substance or place dirty or no longer pure by adding a substance that is dangerous or carries disease,,2564,UNCLASSIFIED
contempt,C2,noun,2,"a lack of worry or fear about rules, danger, etc.",C1,2837,C1
contract,C2,noun,2,an agreement to kill somebody for money,B2,2519,B2
contract,C2,verb,2,to get an illness,B2,2798,B2
contract,C2,verb,3,to make a legal agreement with somebody for them to work for you or provide you with a service,B2,2798,B2
contract,C2,verb,4,to make a legal agreement to work for somebody or provide them with a service,B2,2798,B2
contradict,C1,verb,1,"to say that something that somebody else has said is wrong, and that the opposite is true",,1589,UNCLASSIFIED
contradict,C1,verb,2,to be so different from each other that one of them must be wrong,,1589,UNCLASSIFIED
convene,C2,verb,1,to arrange for people to come together for a formal meeting,,1590,UNCLASSIFIED
convene,C2,verb,2,to come together for a formal meeting,,1590,UNCLASSIFIED
convention,C1,noun,3,an official agreement between countries or leaders,B2,2839,B2
convention,C1,noun,4,"a traditional method or style in literature, art or the theatre",B2,2839,B2
conventional,C1,adjective,4,not nuclear,B2,2838,B2
coordinate,C2,verb,3,"if you coordinate clothes, furniture, etc. or if they coordinate, they look nice together",C1,2840,C1
copper,C2,noun,3,a police officer,C1,2842,C1
corporation,C2,noun,3,a group of people elected to govern a large town or city and provide public services,B2,2841,B2
corridor,C1,noun,3,a long narrow piece of land that follows the course of an important road or river,B2,2843,B2
coverage,C1,noun,3,the amount of something that something provides; the extent to which something covers an area or a group of people,B2,2846,B2
crack,C2,noun,3,a sudden loud noise,B2,2850,B2
crack,C2,noun,6,"a powerful, illegal drug that is a form of cocaine",B2,2850,B2
craft,C2,noun,4,a boat or ship,C1,2844,B2
crawl,C2,verb,5,to search the internet in order to record and list data,C1,2847,C1
critically,C1,adverb,5,"in a way that is connected with the judgement of critics of art, music, literature, etc.",B2,2763,B2
crown,C2,noun,6,the top part of the head or a hat,C1,2848,C1
crown,C2,noun,7,the highest part of something,C1,2848,C1
crown,C2,noun,10,an artificial cover for a damaged tooth,C1,2848,C1
cue,C2,noun,3,"a long wooden stick with a leather tip, used for hitting the ball in the games of billiards, pool and snooker",B2,2761,B2
cutting,C2,noun,3,"a narrow open passage that is dug through high ground for a road, railway or canal",C1,2849,C1
deadly,C1,adjective,2,extreme; complete,B2,2852,B2
dealer,C1,noun,3,the person who gives out the cards in a card game,B2,2853,B2
deception,C1,noun,1,the act of deliberately making somebody believe something that is not true (= of deceiving them),,2525,UNCLASSIFIED
deck,C1,noun,4,a complete set of 52 playing cards,B2,2854,B2
deck,C1,noun,5,a wooden floor that is built outside the back of a house where you can sit and relax,B2,2854,B2
deck,C2,noun,7,a part of a sound system that records and/or plays sounds on a disc or tape,B2,2855,B2
deed,C2,noun,2,"a legal document that you sign, especially one that proves that you own a house or a building",C1,2859,C1
dehydrated,C2,adjective,2,having lost too much water from your body,,76,UNCLASSIFIED
democracy,C1,noun,3,"fair and equal treatment of everyone in an organization, etc., and their right to take part in making decisions",B2,2858,B2
demonstration,C1,noun,3,an act of giving proof or evidence for something,B2,2857,B2
dense,C2,adjective,3,stupid,C1,2860,C1
deposit,C1,noun,3,a sum of money that is paid into a bank account,C1,2863,B2
deposit,C1,noun,5,a layer of a substance that has formed naturally underground,C1,2863,B2
depress,C2,verb,4,"to press or push something down, especially part of a machine",,1595,UNCLASSIFIED
depression,C1,noun,3,a period when there is little economic activity and many people are poor or without jobs,B2,2861,B2
depression,C2,noun,5,"a weather condition in which the pressure of the air becomes lower, often causing rain",B2,2862,B2
deputy,C2,noun,3,(in the US) a police officer who helps the sheriff of an area,C1,2865,C1
