line_no,word,pos,cefr,n_senses,group_size,group_classification,action
444,billions,noun,UNCLASSIFIED,1,2,PAGINATION,keep
2570,billions,noun,UNCLASSIFIED,1,2,PAGINATION,delete
452,diminishing,adjective,UNCLASSIFIED,2,2,PAGINATION,keep
2580,diminishing,adjective,UNCLASSIFIED,1,2,PAGINATION,delete
466,shifting,adjective,UNCLASSIFIED,1,4,PAGINATION,keep
2588,shifting,adjective,UNCLASSIFIED,1,4,PAGINATION,delete
2589,shifting,adjective,UNCLASSIFIED,1,4,PAGINATION,delete
2590,shifting,adjective,UNCLASSIFIED,2,4,PAGINATION,delete
474,extension,noun,B2,3,3,PAGINATION,keep
2568,extension,noun,B2,3,3,PAGINATION,delete
2569,extension,noun,B2,2,3,PAGINATION,delete
511,breach,"noun, verb",C1,3,2,PAGINATION,keep
2576,breach,"noun, verb",C1,1,2,PAGINATION,delete
512,grace,noun,C1,3,2,PAGINATION,keep
2575,grace,noun,C1,2,2,PAGINATION,delete
532,heel,noun,B2,3,2,PAGINATION,keep
2582,heel,noun,B2,1,2,PAGINATION,delete
534,imply,verb,B2,2,2,PAGINATION,keep
2581,imply,verb,B2,1,2,PAGINATION,delete
537,nerve,noun,B2,3,2,PAGINATION,keep
2583,nerve,noun,B2,1,2,PAGINATION,delete
545,pile,"noun, verb",B2,3,2,PAGINATION,keep
2584,pile,"noun, verb",B2,1,2,PAGINATION,delete
546,pitch,noun,B2,3,3,PAGINATION,keep
2585,pitch,noun,B2,1,3,PAGINATION,delete
2586,pitch,noun,B2,1,3,PAGINATION,delete
548,pupil,noun,B2,2,2,PAGINATION,keep
2587,pupil,noun,B2,1,2,PAGINATION,delete
557,assure,verb,B2,2,2,PAGINATION,keep
2592,assure,verb,B2,2,2,PAGINATION,delete
560,comprehensive,adjective,B2,2,2,PAGINATION,keep
2591,comprehensive,adjective,B2,1,2,PAGINATION,delete
566,embrace,verb,B2,2,2,PAGINATION,keep
2603,embrace,verb,B2,1,2,PAGINATION,delete
567,exceed,verb,B2,2,2,PAGINATION,keep
2594,exceed,verb,B2,1,2,PAGINATION,delete
568,erupt,verb,B2,3,2,PAGINATION,keep
2593,erupt,verb,B2,1,2,PAGINATION,delete
570,exploit,verb,B2,2,2,PAGINATION,keep
2597,exploit,verb,B2,2,2,PAGINATION,delete
574,goodness,noun,B2,3,2,PAGINATION,keep
2595,goodness,noun,B2,1,2,PAGINATION,delete
575,governor,noun,B2,2,2,PAGINATION,keep
2596,governor,noun,B2,2,2,PAGINATION,delete
577,index,noun,B2,3,3,PAGINATION,keep
2599,index,noun,B2,2,3,PAGINATION,delete
2600,index,noun,B2,1,3,PAGINATION,delete
578,infer,verb,B2,1,2,PAGINATION,keep
2602,infer,verb,B2,1,2,PAGINATION,delete
579,inspector,noun,B2,2,2,PAGINATION,keep
2601,inspector,noun,B2,1,2,PAGINATION,delete
580,integrate,verb,B2,1,2,PAGINATION,keep
2598,integrate,verb,B2,1,2,PAGINATION,delete
581,interpretation,noun,B2,1,2,PAGINATION,keep
2604,interpretation,noun,B2,1,2,PAGINATION,delete
584,jury,noun,B2,2,2,PAGINATION,keep
2605,jury,noun,B2,1,2,PAGINATION,delete
586,margin,noun,B2,3,2,PAGINATION,keep
2607,margin,noun,B2,2,2,PAGINATION,delete
588,miserable,adjective,B2,3,2,PAGINATION,keep
2606,miserable,adjective,B2,1,2,PAGINATION,delete
594,orchestra,noun,B2,1,2,PAGINATION,keep
2608,orchestra,noun,B2,1,2,PAGINATION,delete
595,perceive,verb,B2,1,2,PAGINATION,keep
2609,perceive,verb,B2,1,2,PAGINATION,delete
596,precede,verb,B2,2,2,PAGINATION,keep
2610,precede,verb,B2,1,2,PAGINATION,delete
598,proceed,verb,B2,2,2,PAGINATION,keep
2611,proceed,verb,B2,1,2,PAGINATION,delete
602,spare,verb,C1,3,2,PAGINATION,keep
2616,spare,verb,C1,3,2,PAGINATION,delete
604,stroke,noun,B2,3,3,PAGINATION,keep
2612,stroke,noun,B2,3,3,PAGINATION,delete
2613,stroke,noun,B2,1,3,PAGINATION,delete
606,suspend,verb,B2,2,2,PAGINATION,keep
2614,suspend,verb,B2,3,2,PAGINATION,delete
607,tap,"noun, verb",B2,3,2,PAGINATION,keep
2617,tap,"noun, verb",B2,1,2,PAGINATION,delete
611,unfold,verb,B2,1,2,PAGINATION,keep
2615,unfold,verb,B2,1,2,PAGINATION,delete
635,archive,noun,C1,1,2,PAGINATION,keep
2618,archive,noun,C1,1,2,PAGINATION,delete
638,array,noun,C1,1,2,PAGINATION,keep
2619,array,noun,C1,2,2,PAGINATION,delete
640,ash,noun,C1,3,2,PAGINATION,keep
2620,ash,noun,C1,2,2,PAGINATION,delete
