line_no,word,pos,cefr,n_senses,group_size,group_classification,action
2790,bat,noun,B2,1,2,PAGINATION,delete
1631,hook,verb,B2,3,2,PAGINATION,keep
2796,hook,verb,B2,1,2,PAGINATION,delete
1632,intellectual,adjective,B2,1,2,PAGINATION,keep
2791,intellectual,adjective,B2,1,2,PAGINATION,delete
1635,tackle,verb,B2,2,2,PAGINATION,keep
2792,tackle,verb,B2,3,2,PAGINATION,delete
1636,terminal,noun,B2,3,2,PAGINATION,keep
2794,terminal,noun,B2,1,2,PAGINATION,delete
1637,trace,verb,B2,3,2,PAGINATION,keep
2793,trace,verb,B2,3,2,PAGINATION,delete
1644,absorb,verb,B2,3,2,PAGINATION,keep
2797,absorb,verb,B2,3,2,PAGINATION,delete
1649,academy,noun,C1,2,2,PAGINATION,keep
2799,academy,noun,C1,3,2,PAGINATION,delete
1653,accommodate,verb,B2,3,2,PAGINATION,keep
2800,accommodate,verb,B2,2,2,PAGINATION,delete
1693,ally,noun,C1,3,2,PAGINATION,keep
2801,ally,noun,C1,1,2,PAGINATION,delete
1702,ancestor,noun,B2,1,2,PAGINATION,keep
2802,ancestor,noun,B2,2,2,PAGINATION,delete
1704,angel,noun,C1,3,2,PAGINATION,keep
2803,angel,noun,C1,1,2,PAGINATION,delete
1709,apology,noun,B2,2,2,PAGINATION,keep
2804,apology,noun,B2,1,2,PAGINATION,delete
1716,aside,adverb,B2,2,2,PAGINATION,keep
2805,aside,adverb,B2,1,2,PAGINATION,delete
1718,assign,verb,B2,3,3,PAGINATION,keep
2806,assign,verb,B2,2,3,PAGINATION,delete
2807,assign,verb,B2,1,3,PAGINATION,delete
1720,attachment,noun,B2,3,2,PAGINATION,keep
2809,attachment,noun,B2,2,2,PAGINATION,delete
1723,automatic,adjective,B2,2,2,PAGINATION,keep
2808,automatic,adjective,B2,1,2,PAGINATION,delete
1724,automatically,adverb,B2,2,2,PAGINATION,keep
2811,automatically,adverb,B2,1,2,PAGINATION,delete
1726,awkward,adjective,B2,3,2,PAGINATION,keep
2810,awkward,adjective,B2,2,2,PAGINATION,delete
1731,barely,adverb,B2,2,2,PAGINATION,keep
2812,barely,adverb,B2,2,2,PAGINATION,delete
1738,bid,"noun, verb",B2,3,2,PAGINATION,keep
2815,bid,"noun, verb",B2,1,2,PAGINATION,delete
1739,blanket,noun,B2,1,2,PAGINATION,keep
2813,blanket,noun,B2,1,2,PAGINATION,delete
1742,booking,noun,B2,2,2,PAGINATION,keep
2816,booking,noun,B2,1,2,PAGINATION,delete
1744,bound,adjective,B2,3,2,PAGINATION,keep
2814,bound,adjective,B2,1,2,PAGINATION,delete
1749,bug,noun,B2,3,2,PAGINATION,keep
2819,bug,noun,B2,2,2,PAGINATION,delete
1750,cabin,noun,B2,2,2,PAGINATION,keep
2817,cabin,noun,B2,1,2,PAGINATION,delete
1751,canal,noun,B2,1,2,PAGINATION,keep
2818,canal,noun,B2,1,2,PAGINATION,delete
1754,casual,adjective,B2,1,2,PAGINATION,keep
2821,casual,adjective,B2,3,2,PAGINATION,delete
1756,certainty,noun,B2,1,2,PAGINATION,keep
2820,certainty,noun,B2,1,2,PAGINATION,delete
1758,challenging,adjective,B2,1,2,PAGINATION,keep
2822,challenging,adjective,B2,1,2,PAGINATION,delete
1760,charming,adjective,B2,1,2,PAGINATION,keep
2823,charming,adjective,B2,1,2,PAGINATION,delete
1762,cheek,noun,B2,3,2,PAGINATION,keep
2824,cheek,noun,B2,1,2,PAGINATION,delete
1767,clip,noun,B2,3,2,PAGINATION,keep
2825,clip,noun,B2,1,2,PAGINATION,delete
1771,collision,noun,C1,2,2,PAGINATION,keep
2826,collision,noun,C1,2,2,PAGINATION,delete
1772,colonial,adjective,C1,1,2,PAGINATION,keep
2827,colonial,adjective,C1,1,2,PAGINATION,delete
1773,colourful,adjective,B2,1,2,PAGINATION,keep
2828,colourful,adjective,B2,1,2,PAGINATION,delete
1780,commissioner,noun,C1,2,2,PAGINATION,keep
2829,commissioner,noun,C1,2,2,PAGINATION,delete
1789,compose,verb,B2,2,2,PAGINATION,keep
2830,compose,verb,B2,2,2,PAGINATION,delete
1797,concession,noun,C1,3,2,PAGINATION,keep
2834,concession,noun,C1,1,2,PAGINATION,delete
1798,concrete,"adjective, noun",B2,2,2,PAGINATION,keep
2831,concrete,"adjective, noun",B2,1,2,PAGINATION,delete
1800,configuration,noun,C1,1,2,PAGINATION,keep
2832,configuration,noun,C1,1,2,PAGINATION,delete
1801,confirmation,noun,C1,1,2,PAGINATION,keep
2833,confirmation,noun,C1,2,2,PAGINATION,delete
1810,conservation,noun,B2,1,2,PAGINATION,keep
2835,conservation,noun,B2,2,2,PAGINATION,delete
1822,consumption,noun,B2,2,2,PAGINATION,keep
2836,consumption,noun,B2,1,2,PAGINATION,delete
1823,contempt,noun,C1,3,2,PAGINATION,keep
2837,contempt,noun,C1,1,2,PAGINATION,delete
1833,convention,noun,B2,2,2,PAGINATION,keep
2839,convention,noun,B2,2,2,PAGINATION,delete
1834,conventional,adjective,B2,3,2,PAGINATION,keep
2838,conventional,adjective,B2,1,2,PAGINATION,delete
1839,coordinate,verb,C1,2,2,PAGINATION,keep
2840,coordinate,verb,C1,1,2,PAGINATION,delete
1843,copper,noun,C1,2,2,PAGINATION,keep
2842,copper,noun,C1,1,2,PAGINATION,delete
1845,corporation,noun,B2,2,2,PAGINATION,keep
2841,corporation,noun,B2,1,2,PAGINATION,delete
1852,corridor,noun,B2,3,2,PAGINATION,keep
2843,corridor,noun,B2,1,2,PAGINATION,delete
1857,counter (long flat surface),noun,B2,3,2,PAGINATION,keep
2845,counter (long flat surface),noun,B2,1,2,PAGINATION,delete
1862,coverage,noun,B2,3,2,PAGINATION,keep
2846,coverage,noun,B2,1,2,PAGINATION,delete
1863,crack,"noun, verb",B2,3,2,PAGINATION,keep
2850,crack,"noun, verb",B2,2,2,PAGINATION,delete
1865,crawl,verb,C1,3,2,PAGINATION,keep
2847,crawl,verb,C1,1,2,PAGINATION,delete
1871,crown,noun,C1,3,2,PAGINATION,keep
2848,crown,noun,C1,3,2,PAGINATION,delete
1880,cutting,noun,C1,2,2,PAGINATION,keep
2849,cutting,noun,C1,1,2,PAGINATION,delete
1884,dare,verb,B2,3,2,PAGINATION,keep
2851,dare,verb,B2,1,2,PAGINATION,delete
1889,deadly,adjective,B2,3,2,PAGINATION,keep
2852,deadly,adjective,B2,1,2,PAGINATION,delete
1890,dealer,noun,B2,2,2,PAGINATION,keep
2853,dealer,noun,B2,1,2,PAGINATION,delete
1895,deck,noun,B2,3,3,PAGINATION,keep
2854,deck,noun,B2,2,3,PAGINATION,delete
2855,deck,noun,B2,2,3,PAGINATION,delete
1898,deed,noun,C1,2,2,PAGINATION,keep
2859,deed,noun,C1,1,2,PAGINATION,delete
1900,default,noun,C1,3,2,PAGINATION,keep
2856,default,noun,C1,1,2,PAGINATION,delete
1909,democracy,noun,B2,2,2,PAGINATION,keep
2858,democracy,noun,B2,1,2,PAGINATION,delete
1912,demonstration,noun,B2,3,2,PAGINATION,keep
2857,demonstration,noun,B2,1,2,PAGINATION,delete
1915,dense,adjective,C1,3,2,PAGINATION,keep
2860,dense,adjective,C1,1,2,PAGINATION,delete
1924,depression,noun,B2,3,3,PAGINATION,keep
2861,depression,noun,B2,1,3,PAGINATION,delete
2862,depression,noun,B2,1,3,PAGINATION,delete
1926,deputy,noun,C1,2,2,PAGINATION,keep
2865,deputy,noun,C1,1,2,PAGINATION,delete
1929,descent,noun,C1,2,2,PAGINATION,keep
2866,descent,noun,C1,1,2,PAGINATION,delete
1953,dip,verb,C1,3,2,PAGINATION,keep
2867,dip,verb,C1,1,2,PAGINATION,delete
1956,directory,noun,C1,2,2,PAGINATION,keep
2868,directory,noun,C1,1,2,PAGINATION,delete
1959,disagreement,noun,B2,1,2,PAGINATION,keep
2869,disagreement,noun,B2,1,2,PAGINATION,delete
1964,discharge,verb,C1,3,2,PAGINATION,keep
2870,discharge,verb,C1,1,2,PAGINATION,delete
1970,dismissal,noun,C1,3,2,PAGINATION,keep
2872,dismissal,noun,C1,1,2,PAGINATION,delete
1971,disorder,noun,B2,1,2,PAGINATION,keep
2871,disorder,noun,B2,2,2,PAGINATION,delete
1976,disrupt,verb,C1,1,2,PAGINATION,keep
2875,disrupt,verb,C1,1,2,PAGINATION,delete
1977,disruption,noun,C1,1,2,PAGINATION,keep
2873,disruption,noun,C1,1,2,PAGINATION,delete
1978,dissolve,verb,C1,3,2,PAGINATION,keep
2874,dissolve,verb,C1,1,2,PAGINATION,delete
1979,distant,adjective,B2,3,2,PAGINATION,keep
2876,distant,adjective,B2,1,2,PAGINATION,delete
1985,disturb,verb,B2,3,2,PAGINATION,keep
2877,disturb,verb,B2,1,2,PAGINATION,delete
1995,domain,noun,C1,3,2,PAGINATION,keep
2878,domain,noun,C1,1,2,PAGINATION,delete
1997,donation,noun,B2,1,2,PAGINATION,keep
2879,donation,noun,B2,1,2,PAGINATION,delete
2009,dump,verb,B2,3,2,PAGINATION,keep
2880,dump,verb,B2,2,2,PAGINATION,delete
2012,dynamic,adjective,B2,3,2,PAGINATION,keep
2881,dynamic,adjective,B2,1,2,PAGINATION,delete
2016,echo,"noun, verb",C1,2,2,PAGINATION,keep
2885,echo,"noun, verb",C1,1,2,PAGINATION,delete
2018,economics,noun,B2,1,2,PAGINATION,keep
2882,economics,noun,B2,1,2,PAGINATION,delete
2029,elementary,adjective,B2,1,2,PAGINATION,keep
2884,elementary,adjective,B2,2,2,PAGINATION,delete
2030,elevate,verb,C1,3,2,PAGINATION,keep
2886,elevate,verb,C1,1,2,PAGINATION,delete
2031,eligible,adjective,C1,1,2,PAGINATION,keep
2883,eligible,adjective,C1,1,2,PAGINATION,delete
2036,embed,verb,C1,2,2,PAGINATION,keep
2887,embed,verb,C1,1,2,PAGINATION,delete
2041,empire,noun,B2,2,2,PAGINATION,keep
2889,empire,noun,B2,1,2,PAGINATION,delete
2044,enact,verb,C1,3,2,PAGINATION,keep
2888,enact,verb,C1,1,2,PAGINATION,delete
2055,engagement,noun,C1,3,2,PAGINATION,keep
2890,engagement,noun,C1,1,2,PAGINATION,delete
2066,envelope,noun,B2,3,2,PAGINATION,keep
2891,envelope,noun,B2,1,2,PAGINATION,delete
2088,execute,verb,C1,3,2,PAGINATION,keep
2892,execute,verb,C1,1,2,PAGINATION,delete
2092,exit,noun,B2,2,2,PAGINATION,keep
2893,exit,noun,B2,2,2,PAGINATION,delete
2099,explosive,"adjective, noun",C1,3,2,PAGINATION,keep
2894,explosive,"adjective, noun",C1,1,2,PAGINATION,delete
2100,exposure,noun,B2,3,2,PAGINATION,keep
2895,exposure,noun,B2,2,2,PAGINATION,delete
2102,extract,noun,B2,1,2,PAGINATION,keep
2896,extract,noun,B2,1,2,PAGINATION,delete
2104,fabric,noun,B2,1,3,PAGINATION,keep
2897,fabric,noun,B2,1,3,PAGINATION,delete
2898,fabric,noun,B2,1,3,PAGINATION,delete
2108,fantasy,noun,B2,3,2,PAGINATION,keep
2899,fantasy,noun,B2,1,2,PAGINATION,delete
2113,flavour,noun,B2,3,2,PAGINATION,keep
2900,flavour,noun,B2,1,2,PAGINATION,delete
2114,fool,noun,B2,3,2,PAGINATION,keep
2902,fool,noun,B2,1,2,PAGINATION,delete
2117,formation,noun,B2,2,2,PAGINATION,keep
2901,formation,noun,B2,1,2,PAGINATION,delete
2123,freely,adverb,B2,3,2,PAGINATION,keep
2903,freely,adverb,B2,1,2,PAGINATION,delete
2125,fulfil,verb,B2,3,2,PAGINATION,keep
2904,fulfil,verb,B2,1,2,PAGINATION,delete
2129,gender,noun,B2,1,2,PAGINATION,keep
2905,gender,noun,B2,1,2,PAGINATION,delete
2134,gesture,noun,B2,1,2,PAGINATION,keep
2906,gesture,noun,B2,1,2,PAGINATION,delete
2139,graphic,adjective,B2,1,2,PAGINATION,keep
2907,graphic,adjective,B2,1,2,PAGINATION,delete
2142,grave (serious),adjective,C1,1,2,PAGINATION,keep
2908,grave (serious),adjective,C1,1,2,PAGINATION,delete
2156,highway,noun,B2,3,2,PAGINATION,keep
2909,highway,noun,B2,1,2,PAGINATION,delete
2161,hopefully,adverb,B2,1,2,PAGINATION,keep
2910,hopefully,adverb,B2,1,2,PAGINATION,delete
2162,hunger,noun,B2,2,2,PAGINATION,keep
2911,hunger,noun,B2,1,2,PAGINATION,delete
2163,icon,noun,B2,2,2,PAGINATION,keep
2913,icon,noun,B2,1,2,PAGINATION,delete
2167,immune,adjective,B2,1,2,PAGINATION,keep
2912,immune,adjective,B2,2,2,PAGINATION,delete
2177,inherit,verb,B2,2,2,PAGINATION,keep
2915,inherit,verb,B2,1,2,PAGINATION,delete
2178,ink,noun,B2,1,2,PAGINATION,keep
2914,ink,noun,B2,1,2,PAGINATION,delete
2182,installation,noun,B2,3,3,PAGINATION,keep
2917,installation,noun,B2,1,3,PAGINATION,delete
2918,installation,noun,B2,1,3,PAGINATION,delete
2185,interact,verb,B2,1,2,PAGINATION,keep
2919,interact,verb,B2,1,2,PAGINATION,delete
2186,interaction,noun,B2,1,2,PAGINATION,keep
2923,interaction,noun,B2,1,2,PAGINATION,delete
2187,interval,noun,B2,3,2,PAGINATION,keep
2916,interval,noun,B2,2,2,PAGINATION,delete
2188,invade,verb,B2,1,2,PAGINATION,keep
2920,invade,verb,B2,2,2,PAGINATION,delete
2189,invasion,noun,B2,1,2,PAGINATION,keep
2924,invasion,noun,B2,2,2,PAGINATION,delete
2191,isolate,verb,B2,2,2,PAGINATION,keep
2921,isolate,verb,B2,1,2,PAGINATION,delete
2192,isolated,adjective,B2,2,2,PAGINATION,keep
2922,isolated,adjective,B2,1,2,PAGINATION,delete
2197,ladder,noun,B2,3,2,PAGINATION,keep
2926,ladder,noun,B2,1,2,PAGINATION,delete
2198,landing,noun,B2,3,2,PAGINATION,keep
2925,landing,noun,B2,1,2,PAGINATION,delete
2199,lane,noun,B2,3,2,PAGINATION,keep
2927,lane,noun,B2,2,2,PAGINATION,delete
2201,legend,noun,B2,3,2,PAGINATION,keep
2928,legend,noun,B2,1,2,PAGINATION,delete
2202,lens,noun,B2,3,2,PAGINATION,keep
2929,lens,noun,B2,1,2,PAGINATION,delete
2207,literally,adverb,B2,1,2,PAGINATION,keep
2931,literally,adverb,B2,2,2,PAGINATION,delete
2208,literary,adjective,B2,1,2,PAGINATION,keep
2930,literary,adjective,B2,2,2,PAGINATION,delete
2210,litter,noun,B2,3,2,PAGINATION,keep
2932,litter,noun,B2,2,2,PAGINATION,delete
2215,make-up,noun,B2,1,3,PAGINATION,keep
2943,make-up,noun,B2,2,3,PAGINATION,delete
2944,make-up,noun,B2,1,3,PAGINATION,delete
2217,manufacture,verb,B2,2,2,PAGINATION,keep
2933,manufacture,verb,B2,1,2,PAGINATION,delete
2219,marathon,noun,B2,1,2,PAGINATION,keep
2941,marathon,noun,B2,1,2,PAGINATION,delete
2220,marker,noun,B2,3,2,PAGINATION,keep
2935,marker,noun,B2,1,2,PAGINATION,delete
2222,mate,"noun, verb",B2,3,2,PAGINATION,keep
2934,mate,"noun, verb",B2,1,2,PAGINATION,delete
2224,mechanic,noun,B2,3,2,PAGINATION,keep
2936,mechanic,noun,B2,1,2,PAGINATION,delete
2225,mechanical,adjective,B2,3,2,PAGINATION,keep
2937,mechanical,adjective,B2,1,2,PAGINATION,delete
2228,membership,noun,B2,1,2,PAGINATION,keep
2939,membership,noun,B2,1,2,PAGINATION,delete
2231,mode,noun,B2,3,2,PAGINATION,keep
2938,mode,noun,B2,1,2,PAGINATION,delete
2232,modest,adjective,B2,2,2,PAGINATION,keep
2940,modest,adjective,B2,1,2,PAGINATION,delete
2233,monster,noun,B2,2,2,PAGINATION,keep
2942,monster,noun,B2,2,2,PAGINATION,delete
2236,motion,noun,B2,3,2,PAGINATION,keep
2946,motion,noun,B2,2,2,PAGINATION,delete
2239,naked,adjective,B2,3,2,PAGINATION,keep
2945,naked,adjective,B2,2,2,PAGINATION,delete
2240,navigation,noun,B2,1,2,PAGINATION,keep
2947,navigation,noun,B2,2,2,PAGINATION,delete
2242,necessity,noun,B2,3,2,PAGINATION,keep
2950,necessity,noun,B2,1,2,PAGINATION,delete
2245,neutral,adjective,B2,3,2,PAGINATION,keep
2951,neutral,adjective,B2,2,2,PAGINATION,delete
2246,norm,noun,B2,1,2,PAGINATION,keep
2948,norm,noun,B2,2,2,PAGINATION,delete
2250,nutrition,noun,B2,1,2,PAGINATION,keep
2949,nutrition,noun,B2,1,2,PAGINATION,delete
2252,observer,noun,B2,2,2,PAGINATION,keep
2952,observer,noun,B2,1,2,PAGINATION,delete
2253,obstacle,noun,B2,2,2,PAGINATION,keep
2954,obstacle,noun,B2,1,2,PAGINATION,delete
2254,occupation,noun,B2,1,2,PAGINATION,keep
2953,occupation,noun,B2,3,2,PAGINATION,delete
2255,occupy,verb,B2,1,2,PAGINATION,keep
2957,occupy,verb,B2,3,2,PAGINATION,delete
2258,opera,noun,B2,1,2,PAGINATION,keep
2956,opera,noun,B2,1,2,PAGINATION,delete
2259,operator,noun,B2,3,2,PAGINATION,keep
2955,operator,noun,B2,1,2,PAGINATION,delete
2261,organic,adjective,B2,3,2,PAGINATION,keep
2958,organic,adjective,B2,2,2,PAGINATION,delete
2264,outstanding,adjective,B2,2,2,PAGINATION,keep
2960,outstanding,adjective,B2,1,2,PAGINATION,delete
2265,overcome,verb,B2,1,2,PAGINATION,keep
2959,overcome,verb,B2,2,2,PAGINATION,delete
2266,overnight,adverb,B2,1,2,PAGINATION,keep
2961,overnight,adverb,B2,1,2,PAGINATION,delete
2274,partnership,noun,B2,2,2,PAGINATION,keep
2962,partnership,noun,B2,1,2,PAGINATION,delete
2280,peer,noun,B2,1,2,PAGINATION,keep
2964,peer,noun,B2,1,2,PAGINATION,delete
2281,penalty,noun,B2,2,2,PAGINATION,keep
2963,penalty,noun,B2,3,2,PAGINATION,delete
2284,pity,noun,B2,2,2,PAGINATION,keep
2967,pity,noun,B2,1,2,PAGINATION,delete
2285,placement,noun,B2,2,2,PAGINATION,keep
2965,placement,noun,B2,1,2,PAGINATION,delete
2288,precise,adjective,B2,3,2,PAGINATION,keep
2966,precise,adjective,B2,1,2,PAGINATION,delete
2292,pride,noun,B2,3,2,PAGINATION,keep
2968,pride,noun,B2,1,2,PAGINATION,delete
2297,programming,noun,B2,1,2,PAGINATION,keep
2969,programming,noun,B2,1,2,PAGINATION,delete
2298,progressive,adjective,B2,1,3,PAGINATION,keep
2970,progressive,adjective,B2,1,3,PAGINATION,delete
2971,progressive,adjective,B2,1,3,PAGINATION,delete
2300,promotion,noun,B2,3,2,PAGINATION,keep
2974,promotion,noun,B2,1,2,PAGINATION,delete
2301,proportion,noun,B2,3,2,PAGINATION,keep
2972,proportion,noun,B2,2,2,PAGINATION,delete
2308,pursuit,noun,B2,1,2,PAGINATION,keep
2973,pursuit,noun,B2,2,2,PAGINATION,delete
2309,puzzle,noun,B2,2,2,PAGINATION,keep
2975,puzzle,noun,B2,1,2,PAGINATION,delete
2314,rail,noun,B2,3,2,PAGINATION,keep
2976,rail,noun,B2,1,2,PAGINATION,delete
2317,rating,noun,B2,2,2,PAGINATION,keep
2977,rating,noun,B2,2,2,PAGINATION,delete
2320,receiver,noun,B2,3,2,PAGINATION,keep
2978,receiver,noun,B2,1,2,PAGINATION,delete
2322,recognition,noun,B2,2,2,PAGINATION,keep
2983,recognition,noun,B2,2,2,PAGINATION,delete
2323,recovery,noun,B2,2,3,PAGINATION,keep
2979,recovery,noun,B2,1,3,PAGINATION,delete
2980,recovery,noun,B2,1,3,PAGINATION,delete
2326,referee,noun,B2,2,3,PAGINATION,keep
2981,referee,noun,B2,1,3,PAGINATION,delete
2982,referee,noun,B2,1,3,PAGINATION,delete
2327,registration,noun,B2,3,2,PAGINATION,keep
2984,registration,noun,B2,1,2,PAGINATION,delete
2329,relieve,verb,B2,3,2,PAGINATION,keep
2985,relieve,verb,B2,1,2,PAGINATION,delete
2335,resolution,noun,B2,3,2,PAGINATION,keep
2986,resolution,noun,B2,2,2,PAGINATION,delete
2338,restriction,noun,B2,2,2,PAGINATION,keep
2988,restriction,noun,B2,1,2,PAGINATION,delete
2340,retirement,noun,B2,2,2,PAGINATION,keep
2987,retirement,noun,B2,1,2,PAGINATION,delete
2347,rocket,noun,B2,3,2,PAGINATION,keep
2991,rocket,noun,B2,1,2,PAGINATION,delete
2348,romance,noun,B2,3,2,PAGINATION,keep
2990,romance,noun,B2,2,2,PAGINATION,delete
2353,scandal,noun,B2,1,2,PAGINATION,keep
2992,scandal,noun,B2,2,2,PAGINATION,delete
2356,scholar,noun,B2,2,2,PAGINATION,keep
2993,scholar,noun,B2,1,2,PAGINATION,delete
2357,scholarship,noun,B2,1,2,PAGINATION,keep
2995,scholarship,noun,B2,1,2,PAGINATION,delete
2358,screening,noun,B2,1,2,PAGINATION,keep
2994,screening,noun,B2,1,2,PAGINATION,delete
2360,seminar,noun,B2,1,2,PAGINATION,keep
2996,seminar,noun,B2,1,2,PAGINATION,delete
2362,sexy,adjective,B2,2,2,PAGINATION,keep
2997,sexy,adjective,B2,2,2,PAGINATION,delete
2368,signature,noun,B2,1,2,PAGINATION,keep
2999,signature,noun,B2,2,2,PAGINATION,delete
2369,significance,noun,B2,1,2,PAGINATION,keep
2998,significance,noun,B2,1,2,PAGINATION,delete
2378,speculate,verb,B2,1,2,PAGINATION,keep
3000,speculate,verb,B2,1,2,PAGINATION,delete
2379,speculation,noun,B2,1,2,PAGINATION,keep
3001,speculation,noun,B2,1,2,PAGINATION,delete
2382,spoil,verb,B2,3,2,PAGINATION,keep
3002,spoil,verb,B2,1,2,PAGINATION,delete
2390,strictly,adverb,B2,3,2,PAGINATION,keep
3004,strictly,adverb,B2,2,2,PAGINATION,delete
2391,strip (long narrow piece),noun,C1,3,2,PAGINATION,keep
3003,strip (long narrow piece),noun,C1,2,2,PAGINATION,delete
2393,stunning,adjective,B2,1,2,PAGINATION,keep
3005,stunning,adjective,B2,1,2,PAGINATION,delete
2401,sympathetic,adjective,B2,1,2,PAGINATION,keep
3007,sympathetic,adjective,B2,2,2,PAGINATION,delete
2402,tag,"noun, verb",B2,3,2,PAGINATION,keep
3006,tag,"noun, verb",B2,1,2,PAGINATION,delete
2405,temple,noun,B2,1,2,PAGINATION,keep
3008,temple,noun,B2,1,2,PAGINATION,delete
2407,terms,noun,B2,3,2,PAGINATION,keep
3009,terms,noun,B2,2,2,PAGINATION,delete
2411,terror,noun,B2,2,2,PAGINATION,keep
3011,terror,noun,B2,2,2,PAGINATION,delete
2418,thesis,noun,B2,1,2,PAGINATION,keep
3010,thesis,noun,B2,1,2,PAGINATION,delete
2422,tissue,noun,B2,3,2,PAGINATION,keep
3013,tissue,noun,B2,1,2,PAGINATION,delete
2428,tragic,adjective,B2,1,2,PAGINATION,keep
3012,tragic,adjective,B2,1,2,PAGINATION,delete
2430,transmit,verb,B2,2,2,PAGINATION,keep
3014,transmit,verb,B2,1,2,PAGINATION,delete
2432,trap,"noun, verb",B2,3,2,PAGINATION,keep
3015,trap,"noun, verb",B2,1,2,PAGINATION,delete
2434,tribe,noun,B2,3,2,PAGINATION,keep
3016,tribe,noun,B2,1,2,PAGINATION,delete
2440,uncertainty,noun,B2,1,2,PAGINATION,keep
3017,uncertainty,noun,B2,1,2,PAGINATION,delete
2441,undertake,verb,B2,1,2,PAGINATION,keep
3018,undertake,verb,B2,1,2,PAGINATION,delete
2443,unity,noun,B2,3,2,PAGINATION,keep
3019,unity,noun,B2,1,2,PAGINATION,delete
2449,variation,noun,B2,2,2,PAGINATION,keep
3021,variation,noun,B2,1,2,PAGINATION,delete
2450,viewpoint,noun,B2,1,2,PAGINATION,keep
3020,viewpoint,noun,B2,1,2,PAGINATION,delete
2456,wander,verb,B2,3,2,PAGINATION,keep
3022,wander,verb,B2,2,2,PAGINATION,delete
2466,withdraw,verb,B2,2,2,PAGINATION,keep
3023,withdraw,verb,B2,3,2,PAGINATION,delete
2470,worm,noun,B2,3,3,PAGINATION,keep
3024,worm,noun,B2,2,3,PAGINATION,delete
3025,worm,noun,B2,1,3,PAGINATION,delete
2731,strip,"noun, verb",UNCLASSIFIED,3,2,PAGINATION,keep
2734,strip,verb,UNCLASSIFIED,3,2,PAGINATION,delete
